merchant_id,onboarding_date,days_since_onboarding,mcc_code,mcc_description,country,monthly_volume_usd,avg_ticket_usd,txn_velocity_per_day,chargeback_rate_pct,refund_rate_pct,high_risk_bin_pct,intl_card_pct,identity_risk_score,hours_to_first_txn,shared_bank_account,shared_ip_address,shared_phone,shared_owner_name,collusion_score,network_size,velocity_spike,fraud_risk_score,risk_tier,is_fraud,fraud_reason
MER00019,2023-08-21,54,5999,Misc Retail,CN,6882.43,124.78,56.5,0.006,0.567,0.72,0.55,28.7,69.83,0,0,0,0,0,1,0,9.1,Low,0,None
MER00020,2023-01-26,35,7011,Hotels,BR,38156.88,67.82,21.2,0.772,0.689,11.79,15.28,38.9,31.44,0,0,0,0,0,1,0,26.0,Low,1,Bust-Out Scheme
MER00021,2023-07-31,5,5812,Restaurants,CA,1135.73,118.06,21.3,0.151,0.22,35.37,37.34,26.7,11.64,0,0,0,0,0,1,0,34.7,Medium,0,None
MER00022,2024-06-02,432,5999,Misc Retail,RO,263.79,144.17,26.7,0.903,0.575,8.77,52.6,33.8,31.11,0,0,0,0,0,1,0,56.3,Medium,1,Money Laundering
MER00023,2023-05-12,1,5999,Misc Retail,BR,5883.17,187.72,14.8,0.838,0.818,37.75,19.81,29.1,115.05,1,1,0,0,2,4,0,65.3,High,1,Money Laundering
MER00024,2024-01-26,239,7372,Software/SaaS,RO,16363.31,509.51,22.3,0.366,0.916,6.33,0.04,11.2,16.63,0,0,0,0,0,1,0,21.5,Low,1,Friendly Fraud
MER00025,2023-02-12,29,7995,Gambling,GB,10182.28,113.77,77.6,0.101,1.332,21.07,9.82,48.2,55.8,0,0,0,0,0,1,0,61.3,High,1,Collusion – Merchant-Consumer Ring
MER00026,2023-08-11,437,5812,Restaurants,US,51446.94,95.97,18.2,0.325,2.785,13.2,10.41,6.9,6.83,0,0,0,0,0,1,1,27.0,Low,0,None
MER00027,2024-07-31,401,5045,Electronics Wholesale,US,15616.12,36.35,19.4,1.425,2.477,62.83,8.99,26.3,99.16,0,0,0,0,0,1,0,36.6,Medium,0,None
MER00028,2024-04-29,190,5065,Electronics Retail,BR,3478.05,139.2,19.3,0.567,5.131,4.87,27.63,18.9,34.13,0,0,0,0,0,1,0,37.4,Medium,0,None
MER00029,2023-06-06,200,5411,Grocery,US,247.61,175.46,95.3,0.383,3.218,10.69,2.74,34.9,16.11,0,0,0,0,0,1,0,14.1,Low,0,None
MER00030,2024-11-11,1,5065,Electronics Retail,US,5676.17,74.27,5.3,0.199,5.45,27.0,6.93,22.0,91.9,0,0,0,0,0,1,0,49.6,Medium,0,None
MER00031,2023-12-06,730,5812,Restaurants,GB,37870.91,155.18,169.2,0.61,0.382,20.52,31.11,31.3,7.35,0,1,0,0,1,1,0,47.2,Medium,0,None
MER00032,2023-05-10,378,5411,Grocery,GB,4500.43,67.19,4.9,0.423,1.588,42.45,4.94,32.0,20.89,0,0,0,0,0,1,0,29.8,Low,0,None
MER00033,2024-05-05,405,5094,Precious Metals,MX,8454.72,176.09,9.2,1.183,0.763,9.25,5.66,48.8,8.88,0,0,0,0,0,1,0,71.3,High,0,None
MER00034,2024-09-06,193,5094,Precious Metals,US,15245.51,224.21,49.1,0.167,0.541,2.57,7.79,6.3,98.45,0,0,0,0,0,1,0,26.1,Low,1,Synthetic Identity
MER00035,2024-10-13,76,7995,Gambling,CA,1767.04,221.1,69.2,0.517,0.555,22.02,15.47,13.2,27.65,0,0,0,0,0,1,0,43.7,Medium,0,None
MER00036,2024-06-10,403,5999,Misc Retail,MX,20637.27,101.28,3.7,1.076,1.648,1.91,15.73,23.7,16.69,0,0,0,0,0,1,0,41.6,Medium,1,Card Testing
MER00037,2024-07-15,62,5411,Grocery,VN,94436.48,31.82,5.4,0.117,0.712,1.26,12.29,49.4,93.0,0,0,0,0,0,1,0,37.5,Medium,1,Collusion – Merchant-Consumer Ring
MER00038,2024-11-20,148,5912,Drug Stores,BR,6252.77,48.82,28.0,0.025,1.622,10.77,44.04,38.2,112.3,0,0,0,0,0,1,0,36.5,Medium,0,None
MER00039,2023-12-13,18,7372,Software/SaaS,RO,1489.81,163.23,334.7,0.287,1.732,38.63,14.81,2.7,4.9,0,0,0,0,0,1,0,43.2,Medium,0,None
MER00040,2024-06-28,459,5411,Grocery,NG,7332.7,1041.91,89.6,0.353,0.555,26.61,5.13,69.5,44.23,0,0,0,1,1,1,0,70.2,High,1,Account Takeover
MER00041,2024-08-07,27,5045,Electronics Wholesale,MX,288.13,64.03,14.9,0.249,0.464,46.2,6.56,4.2,38.88,0,0,0,0,0,1,0,45.1,Medium,0,None
MER00042,2024-08-22,45,5411,Grocery,US,13431.46,142.0,1.1,0.828,1.74,8.76,2.61,58.1,86.12,0,0,1,1,2,10,1,91.7,High,1,Collusion – Merchant-Consumer Ring
MER00043,2024-04-14,147,5961,Mail Order,BR,15969.11,51.62,22.2,0.974,1.303,33.53,0.98,48.9,33.73,0,0,0,0,0,1,0,52.0,Medium,1,Card Testing
MER00044,2023-05-31,259,5812,Restaurants,MX,100052.91,33.99,31.0,0.57,2.637,19.53,26.68,11.8,4.64,0,0,0,0,0,1,0,29.3,Low,0,None
MER00045,2023-01-05,173,7011,Hotels,MX,6057.23,45.77,12.7,0.446,0.609,3.8,5.03,24.8,172.41,0,0,0,0,0,1,0,33.8,Medium,0,None
MER00046,2023-08-06,47,5999,Misc Retail,GB,14953.91,11.22,7.2,0.525,1.719,14.04,8.34,11.1,38.06,0,0,0,0,0,1,0,16.5,Low,0,None
MER00047,2024-09-01,1,5045,Electronics Wholesale,GB,2226.24,348.43,24.3,0.563,1.634,58.35,1.66,53.1,48.51,0,0,0,0,0,1,1,63.3,High,0,None
MER00048,2023-12-07,254,5065,Electronics Retail,CA,4747.43,9.68,6.5,0.126,1.021,0.11,7.14,27.3,2.56,1,0,0,0,1,1,0,51.1,Medium,1,Bust-Out Scheme
MER00049,2023-08-31,730,5812,Restaurants,GB,822.4,69.14,190.0,0.488,0.875,12.3,24.93,15.1,77.51,0,0,0,0,0,1,0,17.2,Low,0,None
MER00050,2023-04-15,298,5094,Precious Metals,US,6050.01,27.71,124.0,0.837,1.817,32.41,25.97,12.9,112.43,0,0,0,0,0,1,1,54.0,Medium,0,None
MER00051,2023-10-01,110,7995,Gambling,NG,5125.77,37.17,44.2,0.913,0.611,21.9,13.85,28.7,16.43,1,0,0,0,1,1,0,79.5,High,1,Card Testing
MER00052,2023-08-06,421,5961,Mail Order,US,12692.92,356.57,22.4,1.187,3.822,1.93,15.65,19.9,16.27,0,0,0,0,0,1,0,39.7,Medium,1,Money Laundering
MER00053,2024-09-05,94,5961,Mail Order,US,3179.9,110.06,9.1,0.333,0.567,14.26,5.97,9.9,10.94,0,0,0,1,1,1,0,48.4,Medium,0,None
MER00054,2024-07-17,133,5065,Electronics Retail,CA,9182.16,34.28,19.6,0.264,1.786,16.31,7.43,27.7,37.82,0,0,0,0,0,1,0,42.4,Medium,1,Synthetic Identity
MER00055,2024-04-15,116,5961,Mail Order,MX,4914.42,49.92,143.6,0.769,0.441,12.43,4.63,32.1,1.04,0,0,1,1,2,12,0,94.2,High,1,Bust-Out Scheme
MER00056,2024-06-25,106,5411,Grocery,CA,4928.31,41.87,57.0,0.415,1.319,29.63,4.06,35.7,6.58,0,0,0,1,1,1,0,44.0,Medium,0,None
MER00057,2023-05-08,268,5812,Restaurants,US,9141.17,86.18,25.6,0.107,1.37,18.18,11.58,63.2,45.43,0,0,0,0,0,1,0,27.2,Low,0,None
MER00058,2024-11-16,134,5411,Grocery,GB,8610.9,107.01,60.9,0.251,4.719,4.16,11.02,78.0,31.86,0,0,1,0,1,1,0,48.5,Medium,0,None
MER00059,2024-04-04,68,5999,Misc Retail,CA,25381.12,599.19,38.7,0.484,1.176,3.46,5.25,39.0,65.55,0,0,0,0,0,1,0,22.8,Low,0,None
MER00060,2024-08-04,53,5999,Misc Retail,RO,6761.74,13.25,32.3,0.035,0.669,35.21,2.32,13.3,65.11,0,1,1,0,2,12,0,84.1,High,0,None
MER00061,2023-04-10,6,5812,Restaurants,RO,4794.25,86.94,65.1,0.76,4.254,7.91,5.82,22.2,27.36,0,1,0,0,1,1,0,59.8,Medium,1,Bust-Out Scheme
MER00062,2023-01-01,157,6012,Financial Services,GB,6178.24,65.66,37.4,0.201,1.235,7.49,2.64,31.2,54.02,0,0,0,0,0,1,1,58.4,Medium,1,Triangulation Fraud
MER00063,2024-08-03,47,5999,Misc Retail,CA,2773.88,231.96,56.3,0.515,0.606,23.7,12.77,7.1,94.36,0,0,0,0,0,1,0,13.8,Low,0,None
MER00064,2024-02-24,28,5812,Restaurants,NG,4722.69,128.36,24.4,0.362,4.131,32.29,3.31,35.1,43.63,0,0,0,0,0,1,0,48.1,Medium,1,Triangulation Fraud
MER00065,2023-04-30,190,5065,Electronics Retail,US,170542.2,162.45,14.8,0.048,1.274,20.43,18.83,27.3,165.86,0,0,0,0,0,1,0,47.3,Medium,1,Identity Fraud at Onboarding
MER00066,2023-05-04,205,5812,Restaurants,GB,2061.07,127.11,10.4,0.383,3.242,5.48,0.16,58.6,242.98,0,1,0,0,1,1,0,44.6,Medium,0,None
MER00067,2023-12-28,251,7995,Gambling,CA,5334.85,35.45,9.0,0.308,0.415,10.63,10.43,6.9,34.56,0,0,0,0,0,1,0,33.8,Medium,1,Bust-Out Scheme
MER00068,2024-07-14,126,5411,Grocery,RO,4531.31,302.25,2.9,0.452,0.872,1.95,10.81,17.1,14.48,0,0,0,0,0,1,0,27.8,Low,0,None
MER00069,2024-08-11,404,5094,Precious Metals,US,5592.84,200.04,6.7,0.39,2.274,18.65,15.5,62.9,74.47,0,0,0,0,0,1,1,81.5,High,1,Account Takeover
MER00070,2023-10-02,495,7995,Gambling,GB,4930.23,224.87,6.5,0.411,0.532,36.72,2.51,6.2,9.18,0,0,0,0,0,1,0,35.7,Medium,0,None
MER00071,2024-05-28,296,5812,Restaurants,NG,12318.53,318.64,10.9,0.41,1.102,6.55,4.6,45.1,71.37,0,0,0,0,0,1,0,39.9,Medium,0,None
MER00072,2024-11-14,181,5411,Grocery,GB,623.12,136.68,130.9,0.649,0.95,10.04,15.0,57.0,28.15,0,0,0,0,0,1,0,34.8,Medium,0,None
MER00073,2023-11-01,65,6012,Financial Services,US,38397.87,395.83,16.6,0.059,0.556,12.4,10.69,21.1,72.4,0,0,0,0,0,1,0,38.2,Medium,0,None
MER00074,2023-12-18,730,5912,Drug Stores,VN,20928.65,131.32,26.8,0.67,1.845,3.46,8.62,14.4,16.98,0,0,0,0,0,1,1,47.1,Medium,0,None
MER00075,2024-02-22,57,5912,Drug Stores,GB,1256.01,72.31,27.9,0.536,0.861,7.95,2.3,10.7,29.1,0,0,0,0,0,1,0,11.6,Low,0,None
MER00076,2024-11-05,40,7995,Gambling,MX,269.45,89.42,135.0,0.939,0.544,41.29,7.02,33.7,86.8,0,0,0,0,0,1,0,71.8,High,1,Bust-Out Scheme
MER00077,2023-12-08,105,5411,Grocery,US,1871.31,87.9,10.1,1.096,2.272,16.44,11.64,15.4,19.91,0,0,0,0,0,1,0,14.6,Low,0,None
MER00078,2024-10-13,10,5999,Misc Retail,GB,5630.76,53.55,15.4,0.161,0.247,6.04,2.89,33.2,25.08,0,0,0,1,1,1,0,36.4,Medium,0,None
MER00079,2024-08-26,691,5411,Grocery,CA,388651.31,460.3,17.7,0.34,0.154,4.09,2.82,52.1,41.1,0,0,0,0,0,1,0,25.4,Low,0,None
MER00080,2023-08-07,159,6012,Financial Services,US,18304.19,121.06,78.6,0.01,1.67,19.65,16.13,49.3,49.29,0,0,0,0,0,1,0,54.9,Medium,0,None
MER00081,2024-03-27,146,7011,Hotels,US,538.41,98.96,100.8,0.916,0.771,1.2,13.25,12.8,10.04,0,0,0,0,0,1,1,26.7,Low,0,None
MER00082,2023-07-26,191,5999,Misc Retail,CN,2879.92,132.72,35.5,0.842,3.416,42.97,2.18,42.1,45.42,0,0,0,0,0,1,1,44.2,Medium,0,None
MER00083,2023-10-30,123,5411,Grocery,US,7481.45,1771.98,88.2,0.52,1.653,12.21,1.85,8.3,31.54,0,0,0,1,1,1,0,24.1,Low,1,Identity Fraud at Onboarding
MER00084,2023-03-25,5,5999,Misc Retail,US,11855.24,29.03,24.9,0.912,2.547,2.72,9.33,37.2,75.07,0,0,0,1,1,1,0,47.6,Medium,0,None
MER00085,2023-12-31,170,5999,Misc Retail,GB,1127.63,38.67,16.3,0.938,0.629,5.66,0.1,23.7,50.71,1,0,0,1,2,13,0,61.2,High,1,Money Laundering
MER00086,2023-01-18,226,5912,Drug Stores,NG,6617.78,22.63,82.6,0.065,1.682,16.92,29.5,54.1,33.21,0,0,0,0,0,1,0,48.7,Medium,1,Friendly Fraud
MER00087,2023-07-18,97,7011,Hotels,US,2761.53,71.34,36.1,0.875,0.777,3.89,12.94,18.9,94.23,0,0,0,0,0,1,0,13.8,Low,0,None
MER00088,2024-01-18,254,5961,Mail Order,GB,1547.45,115.07,8.3,0.273,1.754,8.47,12.88,9.7,44.01,0,0,0,0,0,1,0,40.6,Medium,0,None
MER00089,2023-07-24,46,7372,Software/SaaS,US,11960.84,56.52,66.5,0.753,0.456,3.6,14.07,50.3,30.36,1,0,0,0,1,1,0,39.7,Medium,1,Collusion – Merchant-Consumer Ring
MER00090,2023-06-17,45,5411,Grocery,US,25869.39,52.47,15.6,0.924,1.096,34.56,16.21,3.7,10.42,0,0,1,0,1,1,0,35.5,Medium,0,None
MER00091,2023-03-07,31,5912,Drug Stores,US,28611.44,103.79,13.5,0.428,0.284,26.28,6.51,51.7,11.08,0,0,1,0,1,1,1,57.1,Medium,1,Money Laundering
MER00092,2023-04-15,83,7995,Gambling,CN,19179.16,54.48,58.7,0.097,1.458,0.68,32.15,16.2,7.72,0,0,0,0,0,1,1,50.8,Medium,1,Synthetic Identity
MER00093,2024-03-14,337,5065,Electronics Retail,US,3842.76,122.75,18.1,0.081,0.294,26.64,5.02,11.9,82.87,0,0,0,0,0,1,0,37.8,Medium,1,Synthetic Identity
MER00094,2024-07-03,316,7995,Gambling,US,23666.71,274.3,32.0,0.372,0.409,1.01,1.71,10.5,1.75,0,0,0,0,0,1,1,55.9,Medium,1,Card Testing
MER00095,2023-04-04,86,5045,Electronics Wholesale,CA,12881.94,177.16,44.4,0.399,0.565,17.42,10.66,31.7,166.11,0,1,0,0,1,1,0,36.3,Medium,0,None
MER00096,2023-03-24,160,5045,Electronics Wholesale,CN,9906.17,217.24,7.8,0.112,0.36,34.24,0.58,31.3,42.88,0,0,0,0,0,1,1,29.3,Low,1,Friendly Fraud
MER00097,2024-06-05,229,7372,Software/SaaS,US,3237.19,266.65,31.9,0.791,1.341,9.79,11.43,26.2,5.75,0,0,0,0,0,1,0,10.7,Low,0,None
MER00098,2023-07-23,49,5411,Grocery,CA,3845.6,119.44,101.4,0.682,2.577,12.37,2.69,8.4,80.18,1,0,0,0,1,1,0,31.6,Medium,1,Triangulation Fraud
MER00099,2024-10-05,33,5411,Grocery,US,9052.81,76.81,6.4,0.023,0.943,6.12,0.94,14.7,100.06,0,0,0,0,0,1,1,20.5,Low,1,Synthetic Identity
MER00100,2023-01-16,644,5411,Grocery,CA,314837.43,41.59,34.5,0.24,3.278,11.55,5.65,41.2,22.03,0,1,0,0,1,1,0,42.8,Medium,0,None
MER00101,2024-01-24,173,7011,Hotels,GB,12731.87,60.87,7.4,1.049,0.923,0.14,37.64,39.0,21.66,1,0,0,0,1,1,0,45.7,Medium,1,Card Testing
MER00102,2024-03-28,717,5999,Misc Retail,GB,3239.64,53.32,68.4,1.759,1.283,7.73,30.31,23.9,89.98,0,0,0,0,0,1,1,43.4,Medium,0,None
MER00103,2023-02-15,74,5045,Electronics Wholesale,CA,2324.86,187.11,67.6,2.665,0.779,44.69,9.65,19.6,31.87,0,0,0,0,0,1,1,51.0,Medium,0,None
MER00104,2024-03-23,218,5961,Mail Order,US,3875.19,127.33,13.1,1.55,0.899,42.11,8.4,24.9,34.45,0,0,0,0,0,1,0,50.6,Medium,1,Card Testing
MER00105,2023-04-06,45,5812,Restaurants,US,212339.18,180.69,284.7,2.333,1.662,21.88,6.29,34.7,106.41,0,0,0,0,0,1,0,35.3,Medium,1,Identity Fraud at Onboarding
MER00106,2024-10-04,54,7372,Software/SaaS,CA,4452.03,28.21,75.8,0.309,2.46,3.54,12.04,13.0,6.64,0,0,0,0,0,1,0,15.9,Low,0,None
MER00107,2023-06-05,129,5912,Drug Stores,US,31580.84,376.81,46.9,0.127,2.737,20.39,0.66,15.0,103.78,1,0,0,0,1,1,1,46.8,Medium,0,None
MER00108,2024-08-11,69,5812,Restaurants,NG,4610.57,58.73,43.8,1.102,4.07,17.49,14.8,58.9,125.41,0,0,0,1,1,1,0,74.5,High,1,Money Laundering
MER00109,2023-10-15,33,5411,Grocery,RO,11989.38,29.96,65.4,1.018,2.609,20.13,6.96,52.9,0.65,0,0,0,0,0,1,0,65.0,High,1,Account Takeover
MER00110,2023-04-27,54,5999,Misc Retail,VN,26572.12,58.02,6.1,0.663,0.221,15.15,31.82,38.9,55.03,1,0,0,1,2,7,0,96.0,High,1,Collusion – Merchant-Consumer Ring
MER00111,2023-11-08,6,5812,Restaurants,IN,3436.28,1078.97,25.4,0.176,3.366,6.43,11.43,4.6,15.93,0,1,1,0,2,4,1,60.6,High,0,None
MER00112,2023-03-19,219,5961,Mail Order,MX,3097.44,61.09,31.8,0.547,1.629,12.92,8.49,16.7,39.91,0,1,0,0,1,1,0,72.6,High,1,Triangulation Fraud
MER00113,2023-01-17,121,7995,Gambling,BR,97567.97,65.03,12.4,0.344,1.246,4.9,18.5,23.2,50.25,0,0,0,0,0,1,0,37.5,Medium,0,None
MER00114,2024-01-11,17,7011,Hotels,US,35485.85,74.28,35.1,0.351,0.485,3.14,6.88,53.8,42.05,0,0,1,1,2,6,0,79.2,High,1,Collusion – Merchant-Consumer Ring
MER00115,2024-03-24,33,6012,Financial Services,MX,26529.39,77.59,88.1,0.172,0.232,15.12,12.65,18.0,54.55,0,0,0,0,0,1,0,60.1,High,1,Collusion – Merchant-Consumer Ring
MER00116,2024-11-05,19,7995,Gambling,CA,26394.59,41.2,12.1,0.238,1.737,25.28,0.97,35.3,39.18,0,0,0,0,0,1,0,49.9,Medium,1,Chargeback Abuse
MER00117,2024-05-27,170,5812,Restaurants,GB,16144.96,103.88,18.8,0.634,2.949,4.98,9.88,24.2,65.0,0,0,0,1,1,1,0,32.6,Medium,0,None
MER00118,2023-11-20,17,5961,Mail Order,NG,167152.81,263.91,7.5,0.162,3.005,44.16,27.76,21.5,36.95,0,1,0,0,1,1,0,95.7,High,1,Synthetic Identity
MER00119,2024-09-27,252,5065,Electronics Retail,US,8654.74,123.26,2.4,0.473,2.784,30.04,21.83,50.2,10.89,0,0,0,1,1,1,0,75.9,High,1,Collusion – Merchant-Consumer Ring
MER00120,2024-05-06,3,7995,Gambling,CA,19262.08,29.63,51.1,0.351,0.656,8.58,12.54,66.2,10.66,0,0,0,0,0,1,0,68.8,High,1,Synthetic Identity
MER00121,2023-04-10,51,5961,Mail Order,RO,919.32,63.79,19.5,0.764,2.712,2.09,2.5,13.8,50.46,0,0,0,0,0,1,0,49.6,Medium,1,Collusion – Merchant-Consumer Ring
MER00122,2024-05-02,398,5999,Misc Retail,US,2350.91,51.86,21.3,0.624,2.051,13.31,1.97,39.1,34.09,0,0,0,0,0,1,0,24.6,Low,0,None
MER00123,2023-06-06,228,5411,Grocery,GB,1337.79,94.91,6.1,0.619,1.716,6.78,15.81,16.8,21.3,0,0,0,0,0,1,0,19.5,Low,0,None
MER00124,2023-02-16,13,5812,Restaurants,IN,54780.82,340.51,16.1,0.047,0.607,41.76,1.12,33.1,40.22,0,0,0,0,0,1,0,32.1,Medium,0,None
MER00125,2024-10-21,309,7372,Software/SaaS,MX,176.12,77.57,74.9,0.401,0.192,21.78,23.91,33.6,208.55,0,1,0,0,1,1,0,59.7,Medium,1,Triangulation Fraud
MER00126,2023-12-14,122,6012,Financial Services,GB,4431.68,82.42,20.1,0.575,1.135,36.94,19.92,36.7,47.78,0,0,0,0,0,1,0,53.5,Medium,1,Account Takeover
MER00127,2023-06-28,337,6012,Financial Services,US,90.87,532.53,20.8,1.055,0.678,1.61,3.89,16.8,56.8,0,0,0,0,0,1,1,51.8,Medium,1,Money Laundering
MER00128,2024-04-26,165,5411,Grocery,CA,2328.71,216.2,25.8,0.538,1.378,12.82,1.27,3.5,53.07,0,0,0,0,0,1,1,15.2,Low,0,None
MER00129,2024-04-21,206,5045,Electronics Wholesale,CN,3879.95,159.83,4.6,0.089,0.453,19.48,6.99,8.3,57.02,0,0,0,0,0,1,0,12.9,Low,0,None
MER00130,2024-05-11,730,7372,Software/SaaS,GB,64686.42,637.87,42.5,0.139,0.25,0.67,1.87,63.7,10.43,0,0,0,0,0,1,0,28.4,Low,0,None
MER00131,2023-11-01,47,5812,Restaurants,GB,14690.29,146.91,4.5,1.023,0.533,15.99,5.61,3.4,6.75,0,1,1,0,2,6,0,58.4,Medium,1,Collusion – Merchant-Consumer Ring
MER00132,2024-10-13,176,5411,Grocery,US,2322.24,12.35,6.5,0.106,2.35,7.82,4.94,12.9,72.7,0,0,0,0,0,1,1,22.9,Low,1,Card Testing
MER00133,2023-08-09,111,5999,Misc Retail,US,40092.54,206.99,5.7,0.458,0.954,2.64,15.41,31.8,13.21,0,0,0,0,0,1,0,17.7,Low,0,None
MER00134,2024-10-12,7,5961,Mail Order,RO,8322.75,18.32,16.3,1.159,2.083,39.88,2.3,12.0,0.44,0,0,0,0,0,1,0,80.7,High,1,Card Testing
MER00135,2023-10-06,2,5999,Misc Retail,CA,8572.81,141.46,13.2,0.178,2.789,25.32,8.75,8.1,17.04,0,1,0,0,1,1,0,31.3,Medium,1,Triangulation Fraud
MER00136,2023-04-05,22,5045,Electronics Wholesale,MX,1334.07,16.22,20.1,0.197,1.652,10.68,15.61,18.8,29.95,0,0,0,0,0,1,0,47.0,Medium,1,Triangulation Fraud
MER00137,2024-06-30,188,5912,Drug Stores,US,1835.33,56.44,6.8,0.155,0.735,28.03,9.59,41.4,15.02,0,0,0,1,1,1,0,44.0,Medium,0,None
MER00138,2023-04-11,150,5999,Misc Retail,BR,2350.43,62.57,67.1,0.293,3.517,10.34,1.99,64.0,4.71,0,0,0,0,0,1,1,38.6,Medium,0,None
MER00139,2024-04-21,145,5094,Precious Metals,RO,8687.95,41.67,54.6,1.732,2.622,0.64,17.7,36.4,13.87,0,0,0,0,0,1,0,70.6,High,0,None
MER00140,2023-12-03,5,5094,Precious Metals,GB,9107.27,63.51,16.3,0.775,2.922,14.84,8.38,52.9,4.03,0,0,0,0,0,1,0,69.7,High,1,Chargeback Abuse
MER00141,2024-03-13,114,5812,Restaurants,US,82136.6,252.79,11.3,0.302,0.5,10.92,5.65,8.8,36.87,0,0,0,0,0,1,0,4.3,Low,0,None
MER00142,2024-11-23,465,5045,Electronics Wholesale,MX,14437.48,44.08,10.0,1.307,2.385,35.63,2.11,67.0,55.49,0,0,0,0,0,1,0,59.3,Medium,1,Identity Fraud at Onboarding
MER00143,2024-05-15,91,5999,Misc Retail,NG,139.58,155.27,13.8,1.123,0.818,34.21,4.5,25.8,59.92,0,0,0,0,0,1,0,52.7,Medium,1,Synthetic Identity
MER00144,2024-07-05,176,5999,Misc Retail,CA,12015.62,34.27,3.7,1.3,0.686,25.33,21.5,22.5,74.87,1,0,0,0,1,1,0,44.4,Medium,1,Card Testing
MER00145,2024-06-29,272,5411,Grocery,IN,920.55,74.48,6.4,1.768,1.389,13.17,32.95,29.9,2.53,0,0,0,0,0,1,0,35.3,Medium,1,Account Takeover
MER00146,2023-03-31,275,5065,Electronics Retail,MX,1902.73,124.44,56.4,0.375,1.75,41.77,9.82,35.7,65.38,0,0,0,0,0,1,0,62.0,High,1,Card Testing
